Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Musica leggerissima,Colapesce & Dimartino,8,3834501,-0.06%,https://www.youtube.com/watch?v=Q7NjUxGMv7Y
2,2,lady,Sangiovanni,13,3519532,0.01%,https://www.youtube.com/watch?v=2yivf9LdbhI
3,4,Ti raggiungerò,Fred De Palma,6,2612832,0.09%,https://www.youtube.com/watch?v=2WMYOxpRVMI
4,3,CHIAMAMI PER NOME,Francesca Michielin & Fedez,8,2302952,-0.13%,https://www.youtube.com/watch?v=F92zPP2FbwE
5,8,Mi Manchi,Aka 7even,8,2167548,0.33%,https://www.youtube.com/watch?v=qvJPtngb15E
6,5,La genesi del tuo colore,Irama,7,2155027,-0.06%,https://www.youtube.com/watch?v=ksTDwL45sO0
7,6,VOCE,Madame,8,1863458,-0.17%,https://www.youtube.com/watch?v=cFAtUbi7a8w
8,9,0 passi,Deddy,3,1715249,0.1%,https://www.youtube.com/watch?v=6WrNGmVXK-g
9,7,Mi troverai,Me contro Te,3,1341322,-0.34%,https://www.youtube.com/watch?v=jxGYsWlDGDw
10,12,A Un Passo Dalla Luna,Rocco Hunt & Ana Mena,42,1330420,0%,https://www.youtube.com/watch?v=Kh-Dz1Fuo1E
11,n/a,Envidioso,Capo Plaza,1,1301316,n/a,https://www.youtube.com/watch?v=pHBqkJJrXoQ
12,10,ZITTI E BUONI,Måneskin,8,1278744,-0.14%,https://www.youtube.com/watch?v=QN1odfjtMoo
13,11,LA CANZONE NOSTRA,MACE & Blanco & Salmo,15,1249009,-0.1%,https://www.youtube.com/watch?v=XE6lV6xseQ4
14,13,Yo No Sé,RVFV & Pablo Mas,7,1248117,-0.01%,https://www.youtube.com/watch?v=0ZLw3Insx3A
15,18,Las Vegas,Tancredi Cantù,4,1060286,0.11%,https://www.youtube.com/watch?v=nfJvrnsNbxY
16,17,Karaoke,Boomdabash & Alessandra Amoroso,45,1050066,0.01%,https://www.youtube.com/watch?v=fHFx6FbUMRQ
17,14,Dieci,Annalisa,8,1049257,-0.06%,https://www.youtube.com/watch?v=dVLen7OOG38
18,15,MONTERO (Call Me By Your Name),Lil Nas X,4,1001557,-0.09%,https://www.youtube.com/watch?v=6swmTBVI83k
19,16,Sorriso Grande,Alessandra Amoroso,2,994900,-0.07%,https://www.youtube.com/watch?v=BrzbvJsc3zI
20,19,Il Cielo Contromano,Deddy,15,893405,-0.04%,https://www.youtube.com/watch?v=KWuCW9gTyds
21,23,Jerusalema (feat. Nomcebo Zikode),Master KG,44,876252,0.04%,https://www.youtube.com/watch?v=fCZVL_8D048
22,n/a,La Scelta,Caparezza,1,858772,n/a,https://www.youtube.com/watch?v=D8ZVhvXqUzI
23,21,Glicine,Noemi,8,841260,-0.08%,https://www.youtube.com/watch?v=WuXm-dk8jQo
24,26,Fiamme negli occhi,Coma_Cose,7,836017,0.05%,https://www.youtube.com/watch?v=MJhkALvLs0s
25,20,Che me chiamme a fa?,Rocco Hunt & Geolier,9,807304,-0.11%,https://www.youtube.com/watch?v=Vo00UBqXJRc
26,22,Venere e Marte (feat. Marco Mengoni & Frah Quintale),Takagi & Ketra,15,801889,-0.09%,https://www.youtube.com/watch?v=BfDsoB0jhsY
27,25,tutta la notte,Sangiovanni,9,759173,-0.05%,https://www.youtube.com/watch?v=KQ2MthnRg1w
28,27,Non Fare Così,Capo Plaza,13,652947,-0.08%,https://www.youtube.com/watch?v=gHdd3-F4oFg
29,28,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,5,640704,-0.05%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
30,29,Friday (Dopamine Re-Edit) (feat. Mufasa & Hypeman),Riton & Nightcrawlers & Dopamine,5,636851,0.06%,https://www.youtube.com/watch?v=U6n2NcJ7rLc
31,54,LUNA (feat. Gaia),Madame,4,592555,0.27%,https://www.youtube.com/watch?v=byA9OCbO-y0
32,31,guccy bag,Sangiovanni,10,583859,-0.02%,https://www.youtube.com/watch?v=UK9OKTdMrYE
33,35,Aggio Perzo 'o Suonno,Neffa & Coez & TY1,7,580074,0.02%,https://www.youtube.com/watch?v=BPu8cCxGSC0
34,48,Figlia di...,Loredana Berté,8,550290,0.1%,https://www.youtube.com/watch?v=Aa1UVNDCjaw
35,n/a,CASA,Neima Ezza,1,549540,n/a,https://www.youtube.com/watch?v=FPtikhp4EhY
36,38,Ferma A Guardare (feat. Pinguini Tattici Nucleari),Ernia,14,535540,-0.04%,https://www.youtube.com/watch?v=CrKFI6ktBp4
37,33,Save Your Tears,The Weeknd,17,534083,-0.08%,https://www.youtube.com/watch?v=XXYlFuWEuKI
38,53,Another Love,Tom Odell,14,532369,0.12%,https://www.youtube.com/watch?v=MwpMEbgC7DA
39,70,Iko Iko (My Bestie) (feat. Small Jam),Justin Wellington,3,531336,0.47%,https://www.youtube.com/watch?v=TzwqnlYMqIg
40,57,Runaway,AURORA,2,518880,0.17%,https://www.youtube.com/watch?v=-lC84ZqPvNI
41,36,Hecha Pa' Mi,Boza,16,516825,-0.09%,https://www.youtube.com/watch?v=IOHh7vkX5O0
42,n/a,SHOW NO LOVE (Freestyle),Rondodasosa,1,507808,n/a,https://www.youtube.com/watch?v=KKq7S07Hxmc
43,46,Non mi basta più (feat. Chiara Ferragni),Baby K,42,497678,-0.02%,https://www.youtube.com/watch?v=4Rp6netehE4
44,n/a,Blitz 2 (feat. Sofiane),Baby Gang & Bobo,1,497664,n/a,https://www.youtube.com/watch?v=oDNOU7nEuac
45,24,Lifestyle,Guè & DJ Harsh,2,485833,-0.4%,https://www.youtube.com/watch?v=n0YmcbgZJ5k
46,41,Meteoriti,Mr. Rain,3,482751,-0.08%,https://www.youtube.com/watch?v=Q1brWO76mrk
47,45,Your Love (9PM) (Live),ATB & Topic & A7S,6,477106,-0.06%,https://www.youtube.com/watch?v=5zLAhCOAATo
48,40,Mediterranea,Irama,48,476281,-0.09%,https://www.youtube.com/watch?v=cNZrApXrEYc
49,39,Pezzo Di Cuore,Emma & Alessandra Amoroso,14,469868,-0.14%,https://www.youtube.com/watch?v=NEMWc5OWCC8
50,44,Inuyasha,Mahmood,11,469056,-0.08%,https://www.youtube.com/watch?v=yfkp7bHyVGM
51,49,Una Canzone D'Amore Buttata Via,Vasco Rossi,16,460451,-0.08%,https://www.youtube.com/watch?v=30-XvAKLp0s
52,43,No Cap (feat. Geolier),Emis Killa & Jake La Furia,8,456730,-0.12%,https://www.youtube.com/watch?v=14tuRJKa91c
53,51,Mai Dire Mai (La Locura),Willie Peyote,7,452839,-0.06%,https://www.youtube.com/watch?v=fJtnqQ1RTg4
54,73,Levitating (feat. DaBaby),Dua Lipa,13,451390,0.32%,https://www.youtube.com/watch?v=TUVcZfQe-Kw
55,50,Street,Capo Plaza,13,439000,-0.11%,https://www.youtube.com/watch?v=oJmpllW2EqQ
56,42,Occhi Lucidi,Leon Faun,6,426971,-0.18%,https://www.youtube.com/watch?v=Rv_J12YIQIA
57,47,Potevi fare di più,Arisa,8,422590,-0.16%,https://www.youtube.com/watch?v=BNPN2qH_yTE
58,n/a,Mille Parole,Aka 7even,2,418511,n/a,https://www.youtube.com/watch?v=hnLwK0chiq4
59,56,Motel,Peppe Soks & Geolier & Janax,20,414329,-0.08%,https://www.youtube.com/watch?v=V9xMboii47A
60,52,Parlami,Fasma & ,8,407466,-0.14%,https://www.youtube.com/watch?v=H0C63z3DPE0
61,55,Amare,La Rappresentante di Lista,7,406365,-0.12%,https://www.youtube.com/watch?v=iY9YsLvNNt8
62,59,Someone You Loved, & Donghun & Chan,17,399558,-0.07%,https://www.youtube.com/watch?v=S5QCIWRiO3M
63,64,Arcade (feat. FLETCHER),Duncan Laurence,9,397442,0.01%,https://www.youtube.com/watch?v=51u5fnyrGj4
64,58,Lola,Niko Pandetta & Tempoxso,7,395889,-0.1%,https://www.youtube.com/watch?v=Zq64gX7toQE
65,34,Champagne 4 The Pain (feat. Gemitaiz & Noyz Narcos),Guè & DJ Harsh,2,390772,-0.32%,https://www.youtube.com/watch?v=aeDOhNSpAtM
66,80,Ride it,Regard,2,389108,0.25%,https://www.youtube.com/watch?v=ucVUEmjKsko
67,68,Astronaut In The Ocean,Masked Wolf,11,378682,0%,https://www.youtube.com/watch?v=MEg-oqI9qmw
68,62,Ancora in due,Deddy,3,373236,-0.11%,https://www.youtube.com/watch?v=rlh-M-nEz_c
69,66,CON(TORTA)...,Enula,2,365546,-0.06%,https://www.youtube.com/watch?v=Vyq9bHtor9w
70,67,L'urlo di Munch,Emanuele Aloia,12,359783,-0.06%,https://www.youtube.com/watch?v=sCusl2wiKMA
71,63,CORALINE,Måneskin,5,359098,-0.14%,https://www.youtube.com/watch?v=CmMO42bOTZ4
72,n/a,Tu Si a Fine do' Munno,Angelo Famao,39,358750,n/a,https://www.youtube.com/watch?v=4zE1RnQnwcQ
73,65,SPLASH (feat. Enzo Dong),MV Killa & Yung Snapp,18,346044,-0.11%,https://www.youtube.com/watch?v=04nnME7dTG0
74,n/a,Notte Stellata,Emanuele Aloia,1,344621,n/a,https://www.youtube.com/watch?v=5--KXDbfJpI
75,32,Piuma,Alessandra Amoroso,2,336697,-0.43%,https://www.youtube.com/watch?v=iodxM2Vv4_4
76,n/a,Magia,Alvaro Soler,1,333219,n/a,https://www.youtube.com/watch?v=Irwea_BVBhI
77,69,Motorola,Morad,13,330894,-0.13%,https://www.youtube.com/watch?v=hueE1VHushU
78,37,Smith & Wesson Freestyle,Guè & DJ Harsh & Marracash,2,321467,-0.43%,https://www.youtube.com/watch?v=6MlD7Usu4JU
79,77,Love Not War,Jason Derulo & ,17,314906,-0.02%,https://www.youtube.com/watch?v=fZMRc-UyPm0
80,96,Leave The Door Open,Silk Sonic & Bruno Mars & Anderson .Paak,2,306875,0.18%,https://www.youtube.com/watch?v=adLGHcj_fmA
81,n/a,Bella bionda,Francesco D'Aleo,48,306022,n/a,https://www.youtube.com/watch?v=i-2TEee1OsQ
82,n/a,Scusa,Mara Sattei,1,303699,n/a,https://www.youtube.com/watch?v=xOd1yVi4Ulw
83,74,Un milione di cose da dirti,Ermal Meta,7,301235,-0.1%,https://www.youtube.com/watch?v=sC7UluoMaWY
84,78,GIRL LIKE ME,Black Eyed Peas & Shakira,20,299769,-0.06%,https://www.youtube.com/watch?v=vMLk_T0PPbk
85,n/a,FREESTYLE,Noizy,1,295636,n/a,https://www.youtube.com/watch?v=yNmsW10p-Ms
86,79,Je ne sais pas,Lous and the Yakuza & Sfera Ebbasta & Shablo,8,293064,-0.06%,https://www.youtube.com/watch?v=BpreyqrnMjE
87,89,Mille guerre (feat. Daniele De Martino),Marika Tarascio,3,290807,0.05%,https://www.youtube.com/watch?v=BDMc6GgaZ7A
88,30,Alex (feat. Lazza & Salmo),Guè & DJ Harsh,2,289041,-0.52%,https://www.youtube.com/watch?v=6kZ-SywMl50
89,84,Mantieni il bacio,Michele Bravi,11,288147,-0.01%,https://www.youtube.com/watch?v=jYifnGo7mxg
90,81,A vita mia si tu,Marsica & Gianluca Capozzi,6,287815,-0.06%,https://www.youtube.com/watch?v=i58cPfcTsLE
91,n/a,HO SPENTO IL CIELO,Rkomi & Tommaso Paradiso,1,287742,n/a,https://www.youtube.com/watch?v=-ZsnhZ9S3O0
92,82,Eterno ammore,Gianni Fiorellino & Giusy Attanasio,10,287702,-0.04%,https://www.youtube.com/watch?v=CPpWVZ3orY0
93,85,Entre Tú y Yo,Chema Rivas,14,277651,-0.05%,https://www.youtube.com/watch?v=nX9u9Xpr8_U
94,n/a,hype,Sangiovanni,1,274901,n/a,https://www.youtube.com/watch?v=DzySuXyCM2Y
