Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,Soldi,Isac Elliot & Mahmood,1,11966902,n/a,https://www.youtube.com/watch?v=22lISUXgSUw
2,10,I tuoi particolari,Ultimo,2,7632474,5.46%,https://www.youtube.com/watch?v=q2izsbwDEsk
3,1,La ragazza con il cuore di latta,Irama,2,6339545,2.73%,https://www.youtube.com/watch?v=ov3pyu9hWio
4,77,Cosa ti aspetti da me,Loredana Bertè,2,3059833,7.75%,https://www.youtube.com/watch?v=ss3NhlKY86M
5,36,Musica Perfecta (Spanish Version),Il Volo,2,2864654,3.57%,https://www.youtube.com/watch?v=6NaPnoAIPSM
6,93,Per Un Milione,Boomdabash,2,2733428,8.8%,https://www.youtube.com/watch?v=fL1rrLus1_8
7,66,Rolls Royce,Achille Lauro,2,2487546,4.8%,https://www.youtube.com/watch?v=uS8Hk8aoLZY
8,2,È sempre bello,Coez,5,1569381,-0.01%,https://www.youtube.com/watch?v=MNWpYoR0HLw
9,7,Hola (I Say),Marco Mengoni,11,1569137,0.18%,https://www.youtube.com/watch?v=qBnffe5-WOE
10,52,Abbi cura di me,Simone Cristicchi,2,1532225,2.04%,https://www.youtube.com/watch?v=0o6zza76pDg
11,5,Da zero a cento,Baby K,33,1420607,0.02%,https://www.youtube.com/watch?v=XzuV0_cot-g
12,8,D'estate non vale,Fred De Palma,34,1382318,0.11%,https://www.youtube.com/watch?v=xj4ADZhEfJo
13,4,Calma (Remix - Official Video),Pedro Capó & Farruko,8,1290808,-0.1%,https://www.youtube.com/watch?v=1_zgKRBrT0Y
14,16,Sweet but Psycho,Ava Max,5,1256095,0.23%,https://www.youtube.com/watch?v=WXBHCQYxwr0
15,6,Torna a casa,Måneskin,20,1218422,-0.09%,https://www.youtube.com/watch?v=ZZjnfWx0cvw
16,15,Nera,Irama,32,1180127,0.13%,https://www.youtube.com/watch?v=ZSLewGyjhiw
17,97,Nonno Hollywood,Enrico Nigiotti,2,1178260,3.31%,https://www.youtube.com/watch?v=qX0Zee7f6u8
18,20,Ti Dedico Il Silenzio,Ultimo,9,1173830,0.36%,https://www.youtube.com/watch?v=iAEPBGJbavo
19,13,Amore e Capoeira,Takagi & Ketra & Sean Kingston & Giusy Ferreri,35,1161325,0.09%,https://www.youtube.com/watch?v=N4pqF-hwFM4
20,18,Per Le Strade Una Canzone,Eros Ramazzotti,4,1103124,0.18%,https://www.youtube.com/watch?v=mYc9jSdhwMw
21,9,Taki Taki ft. Selena Gomez Ozuna Cardi B (Official Music Vi...,DJ Snake,19,1093375,-0.08%,https://www.youtube.com/watch?v=ixkoVwKQaJg
22,23,Con Calma (Remix),Daddy Yankee,3,1082504,0.32%,https://www.youtube.com/watch?v=DiItGE3eAyQ
23,n/a,Un'altra luce,Nino D'Angelo & Livio Cori,1,1032980,n/a,https://www.youtube.com/watch?v=oenvZbJbdUc
24,14,Girls Like You ft. Cardi B (Official Music Video),Maroon 5,37,1028623,-0.02%,https://www.youtube.com/watch?v=aJOTlE1K90k
25,11,Happy Birthday,Sfera Ebbasta,8,1011650,-0.09%,https://www.youtube.com/watch?v=JFOLJwOoorQ
26,3,Alone,Marshmello,2,976408,-0.34%,https://www.youtube.com/watch?v=ALZHF5UqnU4
27,n/a,break up with your girlfriend i'm bored (Official Video),Ariana Grande,1,962495,n/a,https://www.youtube.com/watch?v=LH4Y1ZUUx2g
28,38,Il ballo delle incertezze,Ultimo,44,949470,0.56%,https://www.youtube.com/watch?v=EyZir4O5pu4
29,n/a,Aspetto che torni (Official Video - Sanremo 2019),Francesco Renga,1,858643,n/a,https://www.youtube.com/watch?v=zLskXkQ_lB4
30,17,Ngopp'A Luna (Official Video),RoccoHunt,4,852847,-0.15%,https://www.youtube.com/watch?v=nP00H6XEVUA
31,n/a,Mi sento bene,Arisa,1,841390,n/a,https://www.youtube.com/watch?v=wVnXfZa7S8I
32,22,Cascare Nei Tuoi Occhi,Ultimo,22,827036,0.01%,https://www.youtube.com/watch?v=BhKjcaWbJXQ
33,n/a,Parole nuove,Einar,1,824589,n/a,https://www.youtube.com/watch?v=LNLWPeZD--o
